Player,Season,From Club,To Club,Market Value,Transfer Fee
Vitinha,17/18,FC Porto U17,FC Porto U19,-,-
Vitinha,15/16,Padroense U17,FC Porto U17,-,End of loan
Vitinha,15/16,FC Porto U17,Padroense U17,-,loan transfer
Vitinha,15/16,FC Porto U15,FC Porto U17,-,-
Vitinha,13/14,FC Porto Youth,FC Porto U15,-,-
Lisandro Martínez,22/23,Ajax,Man Utd,€32.00m,€57.37m
Lisandro Martínez,19/20,Defensa,Ajax,€6.00m,€7.00m
Lisandro Martínez,18/19,Newell's II,Defensa,€2.00m,€725k
Lisandro Martínez,17/18,Defensa,Newell's II,€2.00m,End of loan
Lisandro Martínez,17/18,Newell's II,Defensa,-,loan transfer
Lisandro Martínez,15/16,Newell's U20,Newell's II,-,-
Pau Torres,23/24,Villarreal,Aston Villa,€45.00m,€33.00m
Pau Torres,18/19,Málaga CF,Villarreal,€4.00m,End of loan
Pau Torres,18/19,Villarreal,Málaga CF,€500k,loan transfer
Pau Torres,18/19,Villarreal CF B,Villarreal,€500k,-
Pau Torres,16/17,Villarreal U19,Villarreal CF B,-,-
Pau Torres,15/16,Roda U19,Villarreal U19,-,-
Pau Torres,14/15,Villarreal Yth.,Roda U19,-,-
Sven Botman,22/23,LOSC Lille,Newcastle,€30.00m,€37.00m
Sven Botman,20/21,Ajax U21,LOSC Lille,€1.30m,€8.00m
Sven Botman,19/20,Heerenveen,Ajax U21,€1.30m,End of loan
Sven Botman,19/20,Ajax U21,Heerenveen,€300k,loan transfer
Sven Botman,18/19,Ajax U19,Ajax U21,-,-
Sven Botman,17/18,Ajax U17,Ajax U19,-,-
Sven Botman,15/16,Ajax Youth,Ajax U17,-,-
Sven Botman,09/10,Pancratius Yth.,Ajax Youth,-,free transfer
Diogo Costa,19/20,FC Porto B,FC Porto,€4.00m,-
Diogo Costa,16/17,FC Porto U19,FC Porto B,-,-
Diogo Costa,15/16,FC Porto U17,FC Porto U19,-,-
Diogo Costa,14/15,FC Porto U15,FC Porto U17,-,-
Diogo Costa,12/13,FC Porto Youth,FC Porto U15,-,-
Ibrahima Konaté,21/22,RB Leipzig,Liverpool,€35.00m,€40.00m
Ibrahima Konaté,17/18,FC Sochaux,RB Leipzig,€300k,free transfer
Ibrahima Konaté,16/17,FC Sochaux B,FC Sochaux,-,-
Ibrahima Konaté,16/17,FC Sochaux U19,FC Sochaux B,-,-
Ibrahima Konaté,14/15,Paris FC Yth.,FC Sochaux U19,-,free transfer
Lucas Hernández,23/24,Bayern Munich,Paris SG,€45.00m,€45.00m
Lucas Hernández,19/20,Atlético Madrid,Bayern Munich,€70.00m,€80.00m
Lucas Hernández,15/16,Atl. Madrid B,Atlético Madrid,-,-
Lucas Hernández,14/15,Atl. Madrid U19,Atl. Madrid B,-,-
Lucas Hernández,12/13,Atl. Madrid U17,Atl. Madrid U19,-,-
Lucas Hernández,11/12,Atléti Youth,Atl. Madrid U17,-,-
Lucas Hernández,07/08,CF Rayo Majadaho,Atléti Youth,-,free transfer
Alejandro Grimaldo,23/24,Benfica,B. Leverkusen,€25.00m,free transfer
Alejandro Grimaldo,15/16,Barcelona B,Benfica,€2.00m,€2.10m
Alejandro Grimaldo,12/13,Barça U19,Barcelona B,€100k,-
Alejandro Grimaldo,11/12,Barça U16,Barça U19,-,-
Alejandro Grimaldo,09/10,Barça Youth,Barça U16,-,-
Alejandro Grimaldo,08/09,Valencia CF You,Barça Youth,-,?
Serge Gnabry,17/18,TSG Hoffenheim,Bayern Munich,€20.00m,End of loan
Serge Gnabry,17/18,Bayern Munich,TSG Hoffenheim,€15.00m,"Loan fee:
€1.00m"
Serge Gnabry,17/18,Werder Bremen,Bayern Munich,€15.00m,€8.00m
Serge Gnabry,16/17,Arsenal,Werder Bremen,€2.50m,€5.00m
Serge Gnabry,15/16,West Brom,Arsenal,€3.50m,End of loan
Serge Gnabry,15/16,Arsenal,West Brom,€3.50m,loan transfer
Serge Gnabry,13/14,Arsenal U18,Arsenal,-,-
Serge Gnabry,11/12,Stuttgart U17,Arsenal U18,-,€100k
Serge Gnabry,10/11,Stuttgart Yth.,Stuttgart U17,-,-
Serge Gnabry,06/07,S. Kickers Yth.,Stuttgart Yth.,-,free transfer
Serge Gnabry,05/06,Feuerbach Jug.,S. Kickers Yth.,-,free transfer
Serge Gnabry,03/04,Ditzingen Yth.,Feuerbach Jug.,-,free transfer
Serge Gnabry,01/02,GSV Hemm. Jgd.,Ditzingen Yth.,-,free transfer
Serge Gnabry,00/01,Weissach Yth.,GSV Hemm. Jgd.,-,free transfer
Raheem Sterling,22/23,Man City,Chelsea,€70.00m,€56.20m
Raheem Sterling,15/16,Liverpool,Man City,€40.00m,€63.70m
Raheem Sterling,12/13,Liverpool U18,Liverpool,-,-
Raheem Sterling,09/10,QPR U18,Liverpool U18,-,€700k
Neymar,23/24,Paris SG,Al-Hilal,€60.00m,€90.00m
Neymar,17/18,Barcelona,Paris SG,€100.00m,€222.00m
Neymar,13/14,Santos,Barcelona,€50.00m,€88.00m
Neymar,08/09,Santos U20,Santos,-,-
Matheus Cunha,23/24,Atlético Madrid,Wolves,€25.00m,€50.00m
Matheus Cunha,22/23,Wolves,Atlético Madrid,€25.00m,End of loan
Matheus Cunha,22/23,Atlético Madrid,Wolves,€20.00m,loan transfer
Matheus Cunha,21/22,Hertha BSC,Atlético Madrid,€30.00m,€35.00m
Matheus Cunha,19/20,RB Leipzig,Hertha BSC,€13.00m,€18.00m
Matheus Cunha,18/19,FC Sion,RB Leipzig,€1.50m,€15.00m
Matheus Cunha,17/18,Coritiba U20,FC Sion,-,?
Jacob Ramsey,20/21,Aston Villa U23,Aston Villa,-,-
Jacob Ramsey,19/20,Doncaster,Aston Villa U23,-,End of loan
Jacob Ramsey,19/20,Aston Villa U23,Doncaster,-,loan transfer
Jacob Ramsey,18/19,Aston Villa U18,Aston Villa U23,-,-
Jacob Ramsey,17/18,A. Villa Yth.,Aston Villa U18,-,-
Axel Disasi,23/24,Monaco,Chelsea,€30.00m,€45.00m
Axel Disasi,20/21,Stade Reims,Monaco,€13.50m,€13.00m
Axel Disasi,17/18,Stade Reims B,Stade Reims,€100k,-
Axel Disasi,16/17,Paris FC B,Stade Reims B,€100k,free transfer
Axel Disasi,15/16,Paris FC U19,Paris FC B,-,-
Joelinton,19/20,TSG Hoffenheim,Newcastle,€35.00m,€43.50m
Joelinton,17/18,Rapid Vienna,TSG Hoffenheim,€1.25m,End of loan
Joelinton,16/17,TSG Hoffenheim,Rapid Vienna,€1.25m,"Loan fee:
€600k"
Joelinton,15/16,Sport Recife,TSG Hoffenheim,€1.25m,€2.20m
Joelinton,14/15,Sport U20,Sport Recife,-,-
Joelinton,13/14,Recife U17,Sport U20,-,-
Manuel Akanji,22/23,Bor. Dortmund,Man City,€30.00m,€20.00m
Manuel Akanji,17/18,FC Basel,Bor. Dortmund,€5.00m,€21.50m
Manuel Akanji,15/16,FC Winterthur,FC Basel,€250k,€700k
Manuel Akanji,14/15,Winterthur U21,FC Winterthur,-,-
Manuel Akanji,13/14,Winterthur U18,Winterthur U21,-,-
Samu Omorodion,23/24,Alavés,Atlético Madrid,€40.00m,End of loan
Samu Omorodion,23/24,Atlético Madrid,Alavés,€200k,loan transfer
Samu Omorodion,23/24,Granada CF,Atlético Madrid,€200k,€6.00m
Samu Omorodion,23/24,Recre Granada,Granada CF,€200k,-
Samu Omorodion,22/23,Granada CF U19,Recre Granada,-,-
Samu Omorodion,21/22,Nervión U19,Granada CF U19,-,free transfer
Ousmane Diomande,22/23,FC Midtjylland,Sporting CP,€400k,€7.50m
Ousmane Diomande,22/23,Mafra,FC Midtjylland,€400k,End of loan
Ousmane Diomande,22/23,FC Midtjylland,Mafra,-,loan transfer
Ousmane Diomande,22/23,Midtjylland U19,FC Midtjylland,-,-
Ousmane Diomande,21/22,OS Abobo,Midtjylland U19,-,?
Vitor Roque,23/24,Athletico-PR,Barcelona,€40.00m,€40.00m
Vitor Roque,21/22,Cruzeiro,Athletico-PR,€300k,€4.70m
Vitor Roque,21/22,Cruzeiro U17,Cruzeiro,€300k,-
Vitor Roque,18/19,América-MG U17,Cruzeiro U17,-,?
Leny Yoro,22/23,LOSC Lille B,LOSC Lille,€150k,-
Leny Yoro,21/22,LOSC Lille U19,LOSC Lille B,-,-
Leny Yoro,21/22,LOSC Lille Yth.,LOSC Lille U19,-,-
Alejandro Garnacho,22/23,Man Utd U21,Man Utd,€2.00m,-
Alejandro Garnacho,21/22,Man Utd U18,Man Utd U23,-,-
Alejandro Garnacho,20/21,Atléti Youth,Man Utd U18,-,€465k
Mathys Tel,22/23,Stade Rennais,Bayern Munich,€2.00m,€20.00m
Mathys Tel,21/22,Rennes U19,Stade Rennais,-,-
Mathys Tel,20/21,Montrouge U17,Rennes U19,-,free transfer
Mathys Tel,19/20,ASJA Jugend,Montrouge U17,-,free transfer
Mathys Tel,17/18,Paris FC Yth.,ASJA Jugend,-,free transfer
Sávio,23/24,Girona,Troyes,€40.00m,End of loan
Sávio,23/24,Troyes,Girona,€5.00m,loan transfer
Sávio,22/23,PSV Eindhoven,Troyes,€5.00m,End of loan
Sávio,22/23,Troyes,PSV Eindhoven,€6.00m,loan transfer
Sávio,22/23,Atlético-MG,Troyes,€6.00m,€6.50m
Sávio,20/21,Atlético-MG U20,Atlético-MG,-,-
Bradley Barcola,23/24,Olympique Lyon,Paris SG,€18.00m,€45.00m
Bradley Barcola,21/22,Olymp. Lyon B,Olympique Lyon,-,-
Bradley Barcola,20/21,Olymp. Lyon U19,Olymp. Lyon B,-,-
Bradley Barcola,19/20,Olymp. Lyon U17,Olymp. Lyon U19,-,-
Bradley Barcola,18/19,Ol. Lyon Yth.,Olymp. Lyon U17,-,-
Victor Boniface,23/24,Union SG,B. Leverkusen,€12.00m,€20.50m
Victor Boniface,22/23,Bodø/Glimt,Union SG,€700k,€6.10m
Victor Boniface,18/19,Real Sapphire,Bodø/Glimt,-,?
Alejandro Balde,22/23,Barça Atlètic,Barcelona,€4.00m,-
Alejandro Balde,20/21,Barça U19,Barcelona B,€200k,-
Alejandro Balde,19/20,Barça U16,Barça U19,-,-
Alejandro Balde,18/19,Barça Youth,Barça U16,-,-
Roméo Lavia,23/24,Southampton,Chelsea,€32.00m,€62.10m
Roméo Lavia,22/23,Man City U21,Southampton,€2.00m,€22.26m
Roméo Lavia,20/21,Man City U18,Man City U23,-,-
Roméo Lavia,20/21,Anderlecht U18,Man City U18,-,?
Roméo Lavia,19/20,Anderlecht Yth.,Anderlecht U18,-,-
Benjamin Sesko,23/24,RB Salzburg,RB Leipzig,€24.00m,€24.00m
Benjamin Sesko,20/21,FC Liefering,RB Salzburg,€5.00m,End of loan
Benjamin Sesko,19/20,RB Salzburg,FC Liefering,-,loan transfer
Benjamin Sesko,19/20,NK Domzale U17,RB Salzburg,-,€2.50m
Benjamin Sesko,18/19,NK Krsko U17,NK Domzale U17,-,free transfer
Castello Lukeba,23/24,Olympique Lyon,RB Leipzig,€25.00m,€30.00m
Castello Lukeba,21/22,Olymp. Lyon B,Olympique Lyon,-,-
Castello Lukeba,20/21,Olymp. Lyon U19,Olymp. Lyon B,-,-
Castello Lukeba,19/20,Ol. Lyon Yth.,Olymp. Lyon U19,-,-
Pape Matar Sarr,21/22,FC Metz,Tottenham,€15.00m,End of loan
Pape Matar Sarr,21/22,Tottenham,FC Metz,€10.00m,loan transfer
Pape Matar Sarr,21/22,FC Metz,Tottenham,€10.00m,€16.90m
Pape Matar Sarr,20/21,Génération Foot,FC Metz,-,?
Johan Bakayoko,22/23,PSV U21,PSV Eindhoven,€3.00m,-
Johan Bakayoko,20/21,PSV U18,PSV U21,-,-
Johan Bakayoko,20/21,PSV U19,PSV U18,-,-
Johan Bakayoko,19/20,PSV U17,PSV U19,-,-
Johan Bakayoko,19/20,Anderlecht Yth.,PSV U17,-,?
Johan Bakayoko,18/19,KV Mechelen Yth,Anderlecht Yth.,-,?
Johan Bakayoko,16/17,Club Brugge Yth,KV Mechelen Yth,-,?
Johan Bakayoko,15/16,OH Leuven Yth.,Club Brugge Yth,-,free transfer
Edmond Tapsoba,19/20,Vit. Guimarães,B. Leverkusen,€4.50m,€20.20m
Edmond Tapsoba,19/20,Guimarães B,Vit. Guimarães,€350k,-
Edmond Tapsoba,17/18,Leixões U19,Guimarães B,-,?
Edmond Tapsoba,17/18,Salitas,Leixões U19,-,?
Gonçalo Inácio,20/21,Sporting CP U23,Sporting CP,-,-
Gonçalo Inácio,19/20,Sporting U19,Sporting CP U23,-,-
Gonçalo Inácio,18/19,Sporting U17,Sporting U19,-,-
Gonçalo Inácio,16/17,Sporting Sub-15,Sporting U17,-,-
Gonçalo Inácio,14/15,Sporting Yth.,Sporting Sub-15,-,-
Gonçalo Inácio,12/13,Almada Fo.,Sporting Yth.,-,?
Nicolás González,21/22,VfB Stuttgart,Fiorentina,€22.00m,€24.50m
Nicolás González,18/19,Argentinos Jrs.,VfB Stuttgart,€5.00m,€11.26m
Nicolás González,16/17,Argentinos U20,Argentinos Jrs.,-,-
Joshua Zirkzee,22/23,Bayern Munich,Bologna,€11.00m,€8.50m
Joshua Zirkzee,21/22,RSC Anderlecht,Bayern Munich,€11.00m,End of loan
Joshua Zirkzee,21/22,Bayern Munich,RSC Anderlecht,€8.00m,loan transfer
Joshua Zirkzee,20/21,Parma,Bayern Munich,€8.00m,End of loan
Joshua Zirkzee,20/21,Bayern Munich,Parma,€9.00m,loan transfer
Joshua Zirkzee,20/21,FC Bayern II,Bayern Munich,€6.30m,-
Joshua Zirkzee,18/19,FC Bayern U19,FC Bayern II,-,-
Joshua Zirkzee,18/19,FC Bayern U17,FC Bayern U19,-,-
Joshua Zirkzee,17/18,Feyenoord Youth,FC Bayern U17,-,€150k
Joshua Zirkzee,16/17,ADO Youth,Feyenoord Youth,-,free transfer
Joshua Zirkzee,13/14,Spartaan Yth.,ADO Youth,-,free transfer
Morgan Gibbs-White,22/23,Wolves,Nottm Forest,€11.00m,€29.50m
Morgan Gibbs-White,21/22,Sheff Utd,Wolves,€11.00m,End of loan
Morgan Gibbs-White,21/22,Wolves,Sheff Utd,€7.00m,loan transfer
Morgan Gibbs-White,20/21,Swansea,Wolves,€6.00m,End of loan
Morgan Gibbs-White,20/21,Wolves,Swansea,€7.20m,loan transfer
Morgan Gibbs-White,16/17,Wolves U18,Wolves,-,-
Morgan Gibbs-White,16/17,Wolves Yth.,Wolves U18,-,-
Jurrien Timber,23/24,Ajax,Arsenal,€42.00m,€40.00m
Jurrien Timber,20/21,Ajax U21,Ajax,€2.00m,-
Jurrien Timber,18/19,Ajax U19,Ajax U21,-,-
Jurrien Timber,18/19,Ajax U17,Ajax U19,-,-
Jurrien Timber,16/17,Ajax Youth,Ajax U17,-,-
Jurrien Timber,14/15,Feyenoord Youth,Ajax Youth,-,?
Exequiel Palacios,19/20,River Plate,B. Leverkusen,€25.00m,€17.00m
Exequiel Palacios,16/17,River Plate II,River Plate,€300k,-
Exequiel Palacios,15/16,River Plate U20,River Plate II,-,-
Sandro Tonali,23/24,AC Milan,Newcastle,€50.00m,€64.00m
Sandro Tonali,21/22,Brescia,AC Milan,€27.00m,€15.75m
Sandro Tonali,20/21,AC Milan,Brescia,€27.00m,End of loan
Sandro Tonali,20/21,Brescia,AC Milan,€32.00m,"Loan fee:
€5.00m"
Sandro Tonali,17/18,Brescia U19,Brescia,-,-
Sandro Tonali,17/18,Brescia U17,Brescia U19,-,-
Sandro Tonali,15/16,Brescia Youth,Brescia U17,-,-
Sandro Tonali,12/13,Piacenza Youth,Brescia Youth,-,free transfer
Richarlison,22/23,Everton,Tottenham,€48.00m,€58.00m
Richarlison,18/19,Watford,Everton,€25.00m,€39.20m
Richarlison,17/18,Fluminense,Watford,€2.00m,€12.40m
Richarlison,15/16,América-MG,Fluminense,€700k,€2.38m
Richarlison,14/15,América-MG U20,América-MG,-,-
Teun Koopmeiners,21/22,AZ Alkmaar,Atalanta BC,€16.50m,€14.00m
Teun Koopmeiners,17/18,AZ Alkmaar U21,AZ Alkmaar,€350k,-
Teun Koopmeiners,16/17,AZ U19,AZ Alkmaar U21,-,-
Teun Koopmeiners,15/16,AZ U17,AZ U19,-,-
Teun Koopmeiners,13/14,AZ Alkmaar Yout,AZ U17,-,-
Robin Le Normand,19/20,Real Sociedad B,Real Sociedad,€4.00m,-
Robin Le Normand,16/17,Brest B,Real Sociedad B,-,free transfer
Robin Le Normand,13/14,Stade Brest U19,Brest B,-,-
Mason Mount,23/24,Chelsea,Man Utd,€60.00m,€64.20m
Mason Mount,19/20,Chelsea U23,Chelsea,€12.00m,-
Mason Mount,18/19,Derby,Chelsea U23,€10.00m,End of loan
Mason Mount,18/19,Chelsea U23,Derby,€4.00m,loan transfer
Mason Mount,17/18,Vitesse,Chelsea U23,€4.00m,End of loan
Mason Mount,17/18,Chelsea U23,Vitesse,€400k,loan transfer
Mason Mount,16/17,Chelsea U18,Chelsea U23,-,-
Mason Mount,15/16,Chelsea Youth,Chelsea U18,-,-
Federico Chiesa,22/23,Fiorentina,Juventus,€65.00m,€44.60m
Federico Chiesa,21/22,Juventus,Fiorentina,€65.00m,End of loan
Federico Chiesa,20/21,Fiorentina,Juventus,€48.00m,"Loan fee:
€12.60m"
Federico Chiesa,16/17,Fiorentina U19,Fiorentina,€100k,-
Federico Chiesa,14/15,Fiorentina Yth.,Fiorentina U19,-,-
Donyell Malen,21/22,PSV Eindhoven,Bor. Dortmund,€30.00m,€30.00m
Donyell Malen,18/19,PSV U21,PSV Eindhoven,€750k,-
Donyell Malen,17/18,Arsenal U23,PSV U21,€200k,€600k
Donyell Malen,17/18,Arsenal U18,Arsenal U23,-,-
Donyell Malen,15/16,Ajax U17,Arsenal U18,-,?
Donyell Malen,14/15,Ajax Youth,Ajax U17,-,-
Donyell Malen,08/09,Hollandia Yth.,Ajax Youth,-,free transfer
Gianluigi Donnarumma,21/22,AC Milan,Paris SG,€60.00m,free transfer
Gianluigi Donnarumma,15/16,Milan U19,AC Milan,€500k,-
Gianluigi Donnarumma,14/15,AC Milan Youth,Milan U19,-,-
Gianluigi Donnarumma,13/14,Castellammare,AC Milan Youth,-,€250k
Brais Méndez,22/23,Celta de Vigo,Real Sociedad,€18.00m,€14.00m
Brais Méndez,18/19,Celta Vigo B,Celta de Vigo,€3.50m,-
Brais Méndez,16/17,Celta U19,Celta Vigo B,-,-
Fikayo Tomori,21/22,Chelsea,AC Milan,€28.00m,€34.40m
Fikayo Tomori,20/21,AC Milan,Chelsea,€28.00m,End of loan
Fikayo Tomori,20/21,Chelsea,AC Milan,€17.00m,"Loan fee:
€600k"
Fikayo Tomori,18/19,Derby,Chelsea,€7.00m,End of loan
Fikayo Tomori,18/19,Chelsea,Derby,€1.00m,loan transfer
Fikayo Tomori,17/18,Hull City,Chelsea,€1.00m,End of loan
Fikayo Tomori,17/18,Chelsea,Hull City,€250k,loan transfer
Fikayo Tomori,17/18,Chelsea U23,Chelsea,€250k,-
Fikayo Tomori,16/17,Brighton,Chelsea U23,€250k,End of loan
Fikayo Tomori,16/17,Chelsea U23,Brighton,-,loan transfer
Fikayo Tomori,15/16,Chelsea U18,Chelsea U21,-,-
Fikayo Tomori,14/15,Chelsea Youth,Chelsea U18,-,-
Serhou Guirassy,23/24,Stade Rennais,VfB Stuttgart,€14.00m,€9.00m
Serhou Guirassy,22/23,VfB Stuttgart,Stade Rennais,€14.00m,End of loan
Serhou Guirassy,22/23,Stade Rennais,VfB Stuttgart,€10.00m,loan transfer
Serhou Guirassy,20/21,Amiens SC,Stade Rennais,€8.00m,€15.00m
Serhou Guirassy,19/20,1.FC Köln,Amiens SC,€3.50m,€6.00m
Serhou Guirassy,18/19,Amiens SC,1.FC Köln,€3.50m,End of loan
Serhou Guirassy,18/19,1.FC Köln,Amiens SC,€2.00m,loan transfer
Serhou Guirassy,16/17,LOSC Lille,1.FC Köln,€2.00m,€3.80m
Serhou Guirassy,15/16,AJ Auxerre,LOSC Lille,€800k,End of loan
Serhou Guirassy,15/16,LOSC Lille,AJ Auxerre,€500k,loan transfer
Serhou Guirassy,15/16,Stade Lavallois,LOSC Lille,€400k,€500k
Serhou Guirassy,14/15,Stade Laval B,Stade Lavallois,-,-
Serhou Guirassy,13/14,Stade Laval U19,Stade Laval B,-,-
Serhou Guirassy,12/13,Stade Laval U17,Stade Laval U19,-,-
Serhou Guirassy,11/12,J3 Amilly Jgd.,Stade Laval U17,-,?
Serhou Guirassy,10/11,Montargis B,J3 Amilly Jgd.,-,?
Serhou Guirassy,09/10,J3 Amilly Jgd.,Montargis B,-,?
Gregor Kobel,21/22,VfB Stuttgart,Bor. Dortmund,€13.00m,€15.00m
Gregor Kobel,20/21,TSG Hoffenheim,VfB Stuttgart,€4.00m,€7.20m
Gregor Kobel,19/20,VfB Stuttgart,TSG Hoffenheim,€4.00m,End of loan
Gregor Kobel,19/20,TSG Hoffenheim,VfB Stuttgart,€6.00m,"Loan fee:
€500k"
Gregor Kobel,18/19,FC Augsburg,TSG Hoffenheim,€6.00m,End of loan
Gregor Kobel,18/19,TSG Hoffenheim,FC Augsburg,€1.00m,"Loan fee:
€150k"
Gregor Kobel,16/17,GC Zürich U18,TSG Hoffenheim,€25k,€138k
Gregor Kobel,15/16,Hoffenheim U19,GC Zürich U18,€25k,End of loan
Gregor Kobel,14/15,GC Zürich U18,Hoffenheim U19,-,loan transfer
Gregor Kobel,13/14,GC Zürich U16,GC Zürich U18,-,-
Gregor Kobel,11/12,GC Zürich Jgd.,GC Zürich U16,-,-
Ederson,17/18,Benfica,Man City,€22.00m,€40.00m
Ederson,15/16,Rio Ave,Benfica,€1.20m,€500k
Ederson,12/13,GD Ribeirão,Rio Ave,-,free transfer
Ederson,11/12,Benfica U19,GD Ribeirão,-,free transfer
Ederson,10/11,Benfica U17,Benfica U19,-,-
Ederson,09/10,São Paulo U17,Benfica U17,-,?
André Onana,23/24,Inter,Man Utd,€35.00m,€50.20m
André Onana,22/23,Ajax,Inter,€12.00m,free transfer
André Onana,14/15,Barça U19,Ajax,-,€150k
André Onana,13/14,Barça U18,Barça U19,-,-
André Onana,12/13,Barça U16,Barça U18,-,-
André Onana,11/12,Barça Youth,Barça U16,-,-
André Onana,10/11,Eto'o Academy,Barça Youth,-,free transfer
Rúben Neves,23/24,Wolves,Al-Hilal,€40.00m,€55.00m
Rúben Neves,17/18,FC Porto,Wolves,€10.00m,€17.90m
Rúben Neves,14/15,FC Porto U17,FC Porto,-,-
Rúben Neves,12/13,Padroense U17,FC Porto U17,-,-
Rúben Neves,12/13,FC Porto U15,Padroense U17,-,-
Rúben Neves,10/11,FC Porto Youth,FC Porto U15,-,-
Milan Skriniar,23/24,Inter,Paris SG,€50.00m,free transfer
Milan Skriniar,17/18,Sampdoria,Inter,€7.00m,€34.00m
Milan Skriniar,15/16,MSK Zilina,Sampdoria,€600k,€5.20m
Milan Skriniar,12/13,FC ViOn,MSK Zilina,€100k,End of loan
Milan Skriniar,12/13,MSK Zilina,FC ViOn,€100k,loan transfer
Milan Skriniar,11/12,MSK Zilina U19,MSK Zilina,-,-
Milan Skriniar,10/11,MSK Zilina Yth,MSK Zilina U19,-,-
Andreas Christensen,22/23,Chelsea,Barcelona,€35.00m,free transfer
Andreas Christensen,16/17,Bor. M'gladbach,Chelsea,€18.00m,End of loan
Andreas Christensen,15/16,Chelsea,Bor. M'gladbach,€1.50m,loan transfer
Andreas Christensen,15/16,Chelsea U21,Chelsea,€1.50m,-
Andreas Christensen,13/14,Chelsea U18,Chelsea U21,-,-
Andreas Christensen,12/13,Bröndby IF U17,Chelsea U18,-,free transfer
Andreas Christensen,11/12,Bröndby Youth,Bröndby IF U17,-,-
Andreas Christensen,04/05,Birkeröd Youth,Bröndby Youth,-,?
Julian Brandt,19/20,B. Leverkusen,Bor. Dortmund,€50.00m,€25.00m
Julian Brandt,13/14,Wolfsburg U19,B. Leverkusen,-,€500k
Julian Brandt,12/13,Wolfsburg U17,Wolfsburg U19,-,-
Julian Brandt,11/12,Oberneul. Yth.,Wolfsburg U17,-,free transfer
Julian Brandt,09/10,Borgfeld Yth.,Oberneul. Yth.,-,free transfer
Adrien Rabiot,19/20,Paris SG,Juventus,€35.00m,free transfer
Adrien Rabiot,12/13,Toulouse,Paris SG,€2.50m,End of loan
Adrien Rabiot,12/13,Paris SG,Toulouse,€1.50m,loan transfer
Adrien Rabiot,12/13,Paris SG U19,Paris SG,-,-
Adrien Rabiot,11/12,Paris SG U17,Paris SG U19,-,-
Adrien Rabiot,10/11,Pau FC U19,Paris SG U17,-,free transfer
Adrien Rabiot,09/10,Créteil Youth,Pau FC U19,-,free transfer
Adrien Rabiot,08/09,Man City Youth,Créteil Youth,-,free transfer
Adrien Rabiot,08/09,Créteil Youth,Man City Youth,-,free transfer
Mike Maignan,21/22,LOSC Lille,AC Milan,€25.00m,€16.40m
Mike Maignan,15/16,Paris SG,LOSC Lille,€250k,€1.00m
Mike Maignan,13/14,Paris SG B,Paris SG,-,-
Mike Maignan,12/13,Paris SG U19,Paris SG B,-,-
Mike Maignan,11/12,Paris SG U17,Paris SG U19,-,-
Mike Maignan,10/11,PSG Youth,Paris SG U17,-,-
Nathan Aké,20/21,Bournemouth,Man City,€28.00m,€45.30m
Nathan Aké,17/18,Chelsea,Bournemouth,€8.00m,€22.80m
Nathan Aké,16/17,Bournemouth,Chelsea,€5.00m,End of loan
Nathan Aké,16/17,Chelsea,Bournemouth,€4.50m,loan transfer
Nathan Aké,15/16,Watford,Chelsea,€4.50m,End of loan
Nathan Aké,15/16,Chelsea,Watford,€2.00m,loan transfer
Nathan Aké,14/15,Reading,Chelsea,€1.50m,End of loan
Nathan Aké,14/15,Chelsea,Reading,€1.50m,loan transfer
Nathan Aké,12/13,Chelsea U18,Chelsea,-,-
Nathan Aké,11/12,Feyenoord U17,Chelsea U18,-,€800k
Nathan Aké,10/11,Feyenoord Youth,Feyenoord U17,-,-
Nathan Aké,07/08,ADO Youth,Feyenoord Youth,-,?
Hakan Çalhanoğlu,21/22,AC Milan,Inter,€35.00m,free transfer
Hakan Çalhanoğlu,17/18,B. Leverkusen,AC Milan,€20.00m,€23.30m
Hakan Çalhanoğlu,14/15,Hamburger SV,B. Leverkusen,€7.00m,€15.25m
Hakan Çalhanoğlu,12/13,Karlsruher SC,Hamburger SV,€3.00m,End of loan
Hakan Çalhanoğlu,12/13,Hamburger SV,Karlsruher SC,€1.00m,loan transfer
Hakan Çalhanoğlu,12/13,Karlsruher SC,Hamburger SV,€1.00m,€2.50m
Hakan Çalhanoğlu,11/12,Karlsruhe U19,Karlsruher SC,-,-
Hakan Çalhanoğlu,11/12,Karlsruhe U17,Karlsruhe U19,-,-
Hakan Çalhanoğlu,09/10,Mannheim Yth.,Karlsruhe U17,-,free transfer
Hakan Çalhanoğlu,01/02,PSV Mannh. Yth.,Mannheim Yth.,-,free transfer
Rico Lewis,22/23,Man City U18,Man City,-,-
Rico Lewis,21/22,Man City Youth,Man City U18,-,-
Bryan Mbeumo,19/20,Troyes,Brentford,€3.50m,€6.50m
Bryan Mbeumo,18/19,Troyes B,Troyes,€300k,-
Bryan Mbeumo,16/17,Troyes U19,Troyes B,-,-
Boubacar Kamara,22/23,Marseille,Aston Villa,€25.00m,free transfer
Boubacar Kamara,17/18,Marseille B,Marseille,-,-
Boubacar Kamara,16/17,Marseille U19,Marseille B,-,-
Boubacar Kamara,15/16,Marseille Yth,Marseille U19,-,-
Marc Guéhi,21/22,Chelsea,Crystal Palace,€10.00m,€23.34m
Marc Guéhi,20/21,Swansea,Chelsea,€6.00m,End of loan
Marc Guéhi,20/21,Chelsea,Swansea,€2.70m,loan transfer
Marc Guéhi,19/20,Swansea,Chelsea,€2.70m,End of loan
