player,season,from_club,to_club,market_value,transfer_fee
Gregor Kobel,2019,TSG Hoffenheim,VfB Stuttgart,6.0,loan transfer
Gregor Kobel,2018,TSG Hoffenheim,FC Augsburg,1.0,loan transfer
Gregor Kobel,2014,GC Zürich U18,Hoffenheim U19,0.0,loan transfer
Milan Skriniar,2012,MSK Zilina,FC ViOn,0.1,loan transfer
Andreas Christensen,2015,Chelsea,Bor. M'gladbach,1.5,loan transfer
Adrien Rabiot,2012,Paris SG,Toulouse,1.5,loan transfer
Nathan Aké,2016,Chelsea,Bournemouth,4.5,loan transfer
Nathan Aké,2015,Chelsea,Watford,2.0,loan transfer
Nathan Aké,2014,Chelsea,Reading,1.5,loan transfer
Hakan Çalhanoğlu,2012,Hamburger SV,Karlsruher SC,1.0,loan transfer
Marc Guéhi,2020,Chelsea,Swansea,2.7,loan transfer
Marc Guéhi,2019,Chelsea,Swansea,1.5,loan transfer
Leandro Trossard,2015,KRC Genk,OH Leuven,0.5,loan transfer
Leandro Trossard,2014,KRC Genk,Lommel United,0.2,loan transfer
Leandro Trossard,2013,KRC Genk,KVC Westerlo,0.2,loan transfer
Leandro Trossard,2012,KRC Genk,Lommel United,0.2,loan transfer
Nicolas Jackson,2020,Villarreal CF B,CD Mirandés,0.0,loan transfer
Jean-Clair Todibo,2020,Barcelona,OGC Nice,12.0,loan transfer
Jean-Clair Todibo,2020,Barcelona,Benfica,14.0,loan transfer
Jean-Clair Todibo,2019,Barcelona,FC Schalke 04,10.0,loan transfer
Harvey Elliott,2020,Liverpool U23,Blackburn,4.0,loan transfer
Mykhaylo Mudryk,2020,Shakhtar II,Desna,0.2,loan transfer
Mykhaylo Mudryk,2018,Shakhtar II,Arsenal Kyiv,0.0,loan transfer
Max Kilman,2016,Maidenhead Utd.,Marlow,0.0,loan transfer
Giorgi Mamardashvili,2021,Dinamo Tbilisi,Valencia,0.8,loan transfer
Giorgi Mamardashvili,2019,Dinamo Tbilisi,FC Locomotive,0.25,loan transfer
Giorgi Mamardashvili,2018,Dinamo Tbilisi,Rustavi,0.025,loan transfer
Nahuel Molina,2018,Boca Juniors II,Rosario Central,0.75,loan transfer
Nahuel Molina,2017,Boca Juniors II,Defensa,0.3,loan transfer
Dávid Hancko,2019,Fiorentina,Sparta Prague,2.5,loan transfer
Harvey Barnes,2018,Leicester,West Brom,0.25,loan transfer
Harvey Barnes,2017,Leicester U21,Barnsley FC,0.1,loan transfer
Harvey Barnes,2016,Leicester U21,MK Dons,0.0,loan transfer
Diogo Dalot,2020,Man Utd,AC Milan,12.0,loan transfer
Ismaël Bennacer,2016,Arsenal U23,Tours FC,0.1,loan transfer
Pervis Estupiñán,2019,Watford,CA Osasuna,2.0,loan transfer
Pervis Estupiñán,2018,Watford,RCD Mallorca,0.8,loan transfer
Pervis Estupiñán,2017,Watford,UD Almería,0.4,loan transfer
Pervis Estupiñán,2016,Udinese Calcio,Granada B,0.6,loan transfer
Joe Willock,2020,Arsenal,Newcastle,16.0,loan transfer
Tammy Abraham,2018,Chelsea,Aston Villa,10.0,loan transfer
Tammy Abraham,2017,Chelsea,Swansea,8.0,loan transfer
Tammy Abraham,2016,Chelsea U23,Bristol City,0.0,loan transfer
Brahim Díaz,2021,Real Madrid,AC Milan,15.0,loan transfer
Brahim Díaz,2020,Real Madrid,AC Milan,13.5,loan transfer
Tomas Soucek,2019,Slavia Prague,West Ham,10.0,loan transfer
Tomas Soucek,2016,Slavia Prague,Slovan Liberec,1.25,loan transfer
Tomas Soucek,2014,Slavia Prague,Viktoria Zizkov,0.0,loan transfer
David Raya,2023,Brentford,Arsenal,30.0,loan transfer
David Raya,2014,Blackburn,Southport,0.0,loan transfer
Joachim Andersen,2020,Olympique Lyon,Fulham,16.0,loan transfer
Dominic Solanke,2015,Chelsea U21,Vitesse,0.25,loan transfer
Fabinho,2013,Rio Ave,Monaco,2.5,loan transfer
Fabinho,2012,Rio Ave,RM Castilla,0.0,loan transfer
Manuel Locatelli,2021,Sassuolo,Juventus,35.0,loan transfer
Manuel Locatelli,2018,AC Milan,Sassuolo,8.0,loan transfer
Malo Gusto,2022,Chelsea,Olympique Lyon,15.0,loan transfer
Rayan Aït-Nouri,2020,Angers SCO,Wolves,20.0,loan transfer
Christian Pulisic,2018,Chelsea,Bor. Dortmund,50.0,loan transfer
Evanilson,2019,Tombense,Fluminense,0.05,loan transfer
Evanilson,2017,Fluminense U20,STK Samorin,0.0,loan transfer
Jarrad Branthwaite,2022,Everton,PSV Eindhoven,3.0,loan transfer
Jarrad Branthwaite,2020,Everton,Blackburn,2.0,loan transfer
Simon Adingra,2022,Brighton,Union SG,1.5,loan transfer
Éderson,2020,Corinthians,Fortaleza,4.0,loan transfer
Folarin Balogun,2022,Arsenal,Stade Reims,4.0,loan transfer
Folarin Balogun,2021,Arsenal U23,Middlesbrough,4.0,loan transfer
Ian Maatsen,2023,Chelsea,Bor. Dortmund,20.0,loan transfer
Ian Maatsen,2022,Chelsea U21,Burnley,5.0,loan transfer
Ian Maatsen,2021,Chelsea U23,Coventry,0.0,loan transfer
Ian Maatsen,2020,Chelsea U23,Charlton,0.0,loan transfer
Kiernan Dewsbury-Hall,2020,Leicester U21,Luton,0.0,loan transfer
Kiernan Dewsbury-Hall,2019,Leicester U21,Blackpool,0.0,loan transfer
Ansu Fati,2023,Barcelona,Brighton,35.0,loan transfer
João Félix,2023,Atlético Madrid,Barcelona,50.0,loan transfer
João Félix,2022,Atlético Madrid,Chelsea,50.0,loan transfer
Charles De Ketelaere,2023,AC Milan,Atalanta BC,22.0,loan transfer
Ademola Lookman,2021,RB Leipzig,Leicester,11.0,loan transfer
Ademola Lookman,2020,RB Leipzig,Fulham,10.0,loan transfer
Ademola Lookman,2017,Everton,RB Leipzig,7.0,loan transfer
Davide Frattesi,2023,Sassuolo,Inter,25.0,loan transfer
Davide Frattesi,2020,Sassuolo,Monza,5.0,loan transfer
Davide Frattesi,2019,Sassuolo,FC Empoli,2.5,loan transfer
Davide Frattesi,2018,Sassuolo,Ascoli,1.0,loan transfer
Nico Schlotterbeck,2020,SC Freiburg,Union Berlin,4.0,loan transfer
Alessandro Buongiorno,2019,Torino,Trapani,0.5,loan transfer
Alessandro Buongiorno,2018,Torino,Carpi,0.125,loan transfer
Frank Anguissa,2021,Fulham,SSC Napoli,25.0,loan transfer
Frank Anguissa,2019,Fulham,Villarreal,25.0,loan transfer
Fabián Ruiz,2016,Real Betis,Elche CF,0.5,loan transfer
Eddie Nketiah,2019,Arsenal,Leeds,8.0,loan transfer
Ben Chilwell,2015,Leicester,Huddersfield,0.0,loan transfer
Marcos Llorente,2016,Real Madrid,Alavés,0.8,loan transfer
Rodrigo de Paul,2015,Valencia,Racing Club,5.0,loan transfer
Otávio,2014,FC Porto,Vit. Guimarães,4.5,loan transfer
Jonathan Tah,2014,Hamburger SV,F. Düsseldorf,6.5,loan transfer
Stanislav Lobotka,2013,AS Trencin,Ajax U21,0.2,loan transfer
João Cancelo,2023,Man City,Barcelona,50.0,loan transfer
João Cancelo,2022,Man City,Bayern Munich,70.0,loan transfer
João Cancelo,2017,Valencia,Inter,20.0,loan transfer
João Cancelo,2014,Benfica,Valencia,2.0,loan transfer
Jan Oblak,2012,Benfica,Rio Ave,1.1,loan transfer
Jan Oblak,2011,Benfica,Leiria,0.7,loan transfer
Jan Oblak,2010,Benfica,Olhanense,0.75,loan transfer
Jan Oblak,2009,Benfica,Beira-Mar,0.75,loan transfer
Romelu Lukaku,2023,Chelsea,AS Roma,40.0,loan transfer
Romelu Lukaku,2022,Chelsea,Inter,70.0,loan transfer
Romelu Lukaku,2013,Chelsea,Everton,24.0,loan transfer
Romelu Lukaku,2012,Chelsea,West Brom,14.0,loan transfer
Mateo Kovacic,2018,Real Madrid,Chelsea,30.0,loan transfer
Casemiro,2014,Real Madrid,FC Porto,6.0,loan transfer
Casemiro,2012,São Paulo,RM Castilla,4.5,loan transfer
Danilo,2018,PFC Cajazeiras,Palmeiras U20,0.0,loan transfer
Armando Broja,2023,Chelsea,Fulham,28.0,loan transfer
Armando Broja,2021,Chelsea U23,Southampton,3.0,loan transfer
Armando Broja,2020,Chelsea U23,Vitesse,1.0,loan transfer
Karim Adeyemi,2018,RB Salzburg,FC Liefering,1.5,loan transfer
Matty Cash,2015,Nottingham U18,Dag & Red FC,0.0,loan transfer
Giacomo Raspadori,2022,Sassuolo,SSC Napoli,28.0,loan transfer
Kalvin Phillips,2023,Man City,West Ham,28.0,loan transfer
Ermedin Demirovic,2019,Alavés,FC St. Gallen,1.0,loan transfer
Ermedin Demirovic,2018,Alavés,UD Almería,1.0,loan transfer
Ermedin Demirovic,2018,Alavés,FC Sochaux,1.0,loan transfer
Taiwo Awoniyi,2020,Liverpool,Union Berlin,3.2,loan transfer
Taiwo Awoniyi,2019,Liverpool,1.FSV Mainz 05,4.5,loan transfer
Taiwo Awoniyi,2018,Liverpool,Mouscron,1.5,loan transfer
Taiwo Awoniyi,2018,Liverpool,KAA Gent,1.5,loan transfer
Taiwo Awoniyi,2017,Liverpool,Mouscron,0.4,loan transfer
Taiwo Awoniyi,2016,Liverpool,NEC Nijmegen,0.3,loan transfer
Taiwo Awoniyi,2015,Liverpool,FSV Frankfurt,0.0,loan transfer
Emiliano Martínez,2018,Arsenal,Reading,1.0,loan transfer
Emiliano Martínez,2017,Arsenal,Getafe,1.0,loan transfer
Emiliano Martínez,2015,Arsenal,Wolves,1.5,loan transfer
Emiliano Martínez,2014,Arsenal,Rotherham,1.0,loan transfer
Emiliano Martínez,2013,Arsenal,Sheff Wed,0.0,loan transfer
Emiliano Martínez,2011,Arsenal Res.,Oxford United,0.0,loan transfer
Aleksandar Mitrovic,2017,Newcastle,Fulham,8.0,loan transfer
Aleksandar Mitrovic,2011,Partizan U19,Teleoptik,0.0,loan transfer
Olivier Boscagli,2017,OGC Nice,Nîmes Olympique,0.8,loan transfer
Samuel Lino,2022,Atlético Madrid,Valencia,7.0,loan transfer
Samuel Lino,2017,São Bernardo,Flamengo U20,0.0,loan transfer
Matías Soulé,2023,Juventus,Frosinone,4.0,loan transfer
Manu Koné,2020,Bor. M'gladbach,Toulouse,5.0,loan transfer
Strahinja Pavlovic,2021,Monaco,FC Basel,8.0,loan transfer
Strahinja Pavlovic,2020,Monaco,Cercle Brugge,8.0,loan transfer
Strahinja Pavlovic,2019,Monaco,Partizan,8.0,loan transfer
Strahinja Pavlovic,2016,Partizan U17,Teleoptik U17,0.0,loan transfer
Radu Drăgușin,2022,Juventus,Genoa,3.5,loan transfer
Radu Drăgușin,2021,Juventus,Salernitana,3.5,loan transfer
Radu Drăgușin,2021,Juventus,Sampdoria,3.0,loan transfer
Álex Baena,2021,Villarreal,Girona,2.5,loan transfer
Mohamed Camara,2018,FC Liefering,TSV Hartberg,0.4,loan transfer
Roger Ibañez,2019,Atalanta BC,AS Roma,2.0,loan transfer
Roger Ibañez,2016,PRS FC,Fluminense,0.0,loan transfer
Roger Ibañez,2016,PRS FC,Sergipe,0.0,loan transfer
Dani Vivian,2020,Athletic,CD Mirandés,0.2,loan transfer
Pepê,2015,Foz do Iguaçu,Coritiba U20,0.0,loan transfer
Riccardo Calafiori,2021,AS Roma,Genoa,4.0,loan transfer
Brian Brobbey,2021,RB Leipzig,Ajax,7.5,loan transfer
Kevin Schade,2022,SC Freiburg,Brentford,12.0,loan transfer
Mattéo Guendouzi,2023,Marseille,Lazio,25.0,loan transfer
Mattéo Guendouzi,2021,Arsenal,Marseille,20.0,loan transfer
Mattéo Guendouzi,2020,Arsenal,Hertha BSC,32.0,loan transfer
Rodrigo Riquelme,2022,Atlético Madrid,Girona,2.0,loan transfer
Rodrigo Riquelme,2021,Atlético Madrid,CD Mirandés,1.8,loan transfer
Rodrigo Riquelme,2020,Atlético Madrid,Bournemouth,2.3,loan transfer
Andrea Cambiaso,2022,Juventus,Bologna,5.0,loan transfer
Andrea Cambiaso,2020,Genoa,Empoli,0.15,loan transfer
Andrea Cambiaso,2019,Genoa,Alessandria,0.1,loan transfer
Andrea Cambiaso,2018,Genoa,Savona,0.075,loan transfer
Andrea Cambiaso,2017,Genoa,Albissola,0.0,loan transfer
Galeno,2018,FC Porto,Rio Ave,2.0,loan transfer
Galeno,2017,FC Porto,Portimonense,0.75,loan transfer
Galeno,2016,Anápolis,FC Porto B,0.0,loan transfer
Martin Terrier,2017,Olympique Lyon,R. Strasbourg,12.0,loan transfer
