player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter,age
Benjamin Pavard,50.0,Centre Back,Right-Back,France,1996-03-28,Maubeuge  ,France,186,Inter Milan,2028-06-30,-,,28,right,adidas,28
Mikel Oyarzabal,50.0,Left Winger,"Centre-Forward, Right Winger",Spain,1997-04-21,Eibar  ,Spain,181,Real Sociedad,2028-06-30,-,,10,left,Nike,27
Dayot Upamecano,50.0,Centre Back,,France,1998-10-27,Évreux  ,France,186,Bayern Munich,2026-06-30,-,,2,right,,26
Diogo Jota,50.0,Left Winger,"Centre-Forward, Right Winger",Portugal,1996-12-04,Porto  ,Portugal,178,Liverpool FC,2027-06-30,-,,20,right,adidas,28
Mikel Merino,50.0,Central Midfield,Defensive Midfield,Spain,1996-06-22,Pamplona  ,Spain,189,Real Sociedad,2025-06-30,-,,8,left,adidas,28
Jarrod Bowen,50.0,Right Winger,"Second Striker, Centre-Forward",England,1996-12-20,Leominster  ,England,175,West Ham United,2030-06-30,-,,20,left,adidas,28
Dani Olmo,50.0,Attacking Midfield,"Left Winger, Right Winger",Spain,1998-05-07,Terrassa  ,Spain,179,RB Leipzig,2027-06-30,-,,7,right,adidas,26
Ivan Toney,50.0,Centre Forward,,England,1996-03-16,Northampton  ,England,185,Brentford FC,2025-06-30,-,,17,right,,28
Federico Dimarco,50.0,Left Back,"Left Midfield, Centre-Back",Italy,1997-11-10,Milano  ,Italy,175,Inter Milan,2027-06-30,-,,32,left,adidas,27
Heung-min Son,50.0,Left Winger,"Centre-Forward, Second Striker",South Korea,1992-07-08,"Chuncheon, Gangwon  ","Korea, South",184,Tottenham Hotspur,2025-06-30,-,,7,both,adidas,32
Conor Gallagher,48.0,Central Midfield,"Defensive Midfield, Attacking Midfield",England,2000-02-06,Epsom  ,England,182,Chelsea FC,2025-06-30,-,,23,right,,24
Eberechi Eze,48.0,Attacking Midfield,"Left Midfield, Central Midfield",England,1998-06-29,London  ,England,178,Crystal Palace,2027-06-30,-,,10,right,New Balance,26
Brennan Johnson,48.0,Right Winger,"Left Winger, Centre-Forward",Wales,2001-05-23,Nottingham  ,England,186,Tottenham Hotspur,2028-06-30,-,,22,right,,23
João Neves,45.0,Defensive Midfield,Central Midfield,Portugal,2004-09-27,Tavira  ,Portugal,174,SL Benfica,2028-06-30,-,,87,right,,20
António Silva,45.0,Centre Back,,Portugal,2003-10-30,Viseu  ,Portugal,187,SL Benfica,2027-06-30,-,,4,right,adidas,21
João Pedro,45.0,Centre Forward,"Left Winger, Second Striker",Brazil,2001-09-26,Ribeirão Preto  ,Brazil,182,Brighton & Hove Albion,2028-06-30,-,,9,right,,23
Giorgio Scalvini,45.0,Centre Back,Defensive Midfield,Italy,2003-12-11,Chiari  ,Italy,194,Atalanta BC,2028-06-30,-,,42,right,Puma,21
