player,current_value,main_position,other_positions,nationality,date_of_birth,city_of_birth,country_of_birth,height,current_club,contract_expires,on_loan_from,contract_there_expires,number,foot,outfitter
Matty Cash,€28.00m,Right-Back,"['Right Midfield', 'Central Midfield']",Poland,"Aug 7, 1997 (26)",Slough  ,England,"1,85 m",Aston Villa,30-Jun-27,-,-,#2,right,Under Armour
Amine Gouiri,€28.00m,Left Winger,"['Centre-Forward', 'Second Striker']",Algeria,"Feb 16, 2000 (24)",Bourgoin-Jallieu  ,France,"1,81 m",Stade Rennais FC,30-Jun-27,-,-,#10,right,
Giacomo Raspadori,€28.00m,Second Striker,"['Left Winger', 'Centre-Forward']",Italy,"Feb 18, 2000 (24)",Bentivoglio  ,Italy,"1,72 m",SSC Napoli,30-Jun-28,-,-,#81,right,adidas
Vitaliy Mykolenko,€28.00m,Left-Back,"['Centre-Back', 'Left Midfield']",Ukraine,"May 29, 1999 (24)",Cherkasy  ,Ukraine,"1,80 m",Everton FC,30-Jun-26,-,-,#19,left,
Kalvin Phillips,€28.00m,Defensive Midfield,"['Central Midfield', 'Centre-Back']",England,"Dec 2, 1995 (28)",Leeds  ,England,"1,79 m",West Ham United,30-Jun-24,Manchester City,30-Jun-28,#11,right,
Ermedin Demirovic,€28.00m,Centre-Forward,"['Right Winger', 'Left Winger']",Bosnia,"Mar 25, 1998 (26)",Hamburg  ,Germany,"1,85 m",FC Augsburg,30-Jun-26,-,-,#9,right,Nike
Taiwo Awoniyi,€28.00m,Centre-Forward,[],Nigeria,"Aug 12, 1997 (26)",Ilorin  ,Nigeria,"1,83 m",Nottingham Forest,30-Jun-27,-,-,#9,right,
Viktor Tsygankov,€28.00m,Right Winger,"['Attacking Midfield', 'Left Winger']",Ukraine,"Nov 15, 1997 (26)",Nahariya  ,Israel,"1,78 m",Girona FC,30-Jun-27,-,-,#8,left,
Alex Iwobi,€28.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",Nigeria,"May 3, 1996 (27)",Lagos  ,Nigeria,"1,83 m",Fulham FC,30-Jun-28,-,-,#22,right,Nike
Xaver Schlager,€28.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Austria,"Sep 28, 1997 (26)",Linz  ,Austria,"1,74 m",RB Leipzig,30-Jun-26,-,-,#24,left,Puma
Konrad Laimer,€28.00m,Central Midfield,"['Defensive Midfield', 'Right-Back']",Austria,"May 27, 1997 (26)",Salzburg  ,Austria,"1,80 m",Bayern Munich,30-Jun-27,-,-,#27,right,
Emiliano Martínez,€28.00m,Goalkeeper,[],Argentina,"Sep 2, 1992 (31)",Mar del Plata  ,Argentina,"1,95 m",Aston Villa,30-Jun-27,-,-,#1,right,adidas
Aleksandar Mitrovic,€28.00m,Centre-Forward,[],Serbia,"Sep 16, 1994 (29)",Smederevo  ,Yugoslavia (Republic),"1,89 m",Al-Hilal SFC,30-Jun-26,-,-,#9,right,Puma
Thiago Almada,€27.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",Argentina,"Apr 26, 2001 (22)",Buenos Aires  ,Argentina,"1,71 m",Atlanta United FC,31-Dec-26,-,-,#10,right,Nike
Mats Wieffer,€27.00m,Defensive Midfield,"['Central Midfield', 'Centre-Back']",Netherlands,"Nov 16, 1999 (24)",Borne  ,Netherlands,"1,88 m",Feyenoord Rotterdam,30-Jun-27,-,-,#20,right,Puma
Denzel Dumfries,€27.00m,Right Midfield,['Right-Back'],Netherlands,"Apr 18, 1996 (28)",Rotterdam  ,Netherlands,"1,88 m",Inter Milan,30-Jun-25,-,-,#2,right,
Olivier Boscagli,€27.00m,Centre-Back,"['Left-Back', 'Defensive Midfield']",France,"Nov 18, 1997 (26)",Monaco  ,Monaco,"1,81 m",PSV Eindhoven,30-Jun-25,-,-,#18,left,
Murillo,€25.00m,Centre-Back,[],Brazil,"Jul 4, 2002 (21)",São Paulo  ,Brazil,"1,84 m",Nottingham Forest,30-Jun-28,-,-,#40,left,Nike
Pau Cubarsí,€25.00m,Centre-Back,[],Spain,"Jan 22, 2007 (17)",Estanyol  ,Spain,"1,84 m",FC Barcelona,30-Jun-26,-,-,#33,right,
André,€25.00m,Defensive Midfield,"['Central Midfield', 'Centre-Back']",Brazil,"Jul 16, 2001 (22)",Ibirataia  ,Brazil,"1,76 m",Fluminense Football Club,31-Dec-26,-,-,#7,right,Nike
Aleksandar Pavlovic,€25.00m,Defensive Midfield,['Central Midfield'],Germany,"May 3, 2004 (19)",München   ,Germany,"1,88 m",Bayern Munich,30-Jun-27,-,-,#45,both,
Pablo Barrios,€25.00m,Central Midfield,['Attacking Midfield'],Spain,"Jun 15, 2003 (20)",Madrid  ,Spain,"1,81 m",Atlético de Madrid,30-Jun-28,-,-,#24,right,
Alan Varela,€25.00m,Defensive Midfield,['Central Midfield'],Argentina,"Jul 4, 2001 (22)",Isidro Casanova  ,Argentina,"1,77 m",FC Porto,30-Jun-28,-,-,#22,right,
Igor Thiago,€25.00m,Centre-Forward,['Second Striker'],Brazil,"Jun 26, 2001 (22)",Gama  ,Brazil,"1,91 m",Club Brugge KV,30-Jun-27,-,-,#99,right,
